policy,success_rate,avg_regret,std_regret,best_arm_pulls,distractor_pulls,noise_pulls
Uniform,0.866,0.0,0.0,9.98,9.991777777777777,10.001044444444444
Thompson Sampling,0.921,0.0010700740675635778,0.007818796538848094,69.075,43.70877777777778,5.972733333333333
A1 (Standard),0.941,0.0005451578174580306,0.00596208404357107,53.346,37.66566666666667,6.751811111111112
A1 (Optimal),0.957,0.0002287326594936775,0.004369802937103068,45.605,35.714555555555556,7.032933333333333
TopTwoTS (Standard),0.902,0.001011005663807424,0.007181110069491865,66.28,43.47333333333333,6.027333333333333
TopTwoTS (Optimal),0.924,0.0013821065994341526,0.010187725890385281,65.883,43.48911111111111,6.030166666666667
