policy,success_rate,avg_regret,std_regret,best_arm_pulls,distractor_pulls,noise_pulls
Uniform,0.857,5.397061668368547e-05,0.0017651191331550433,9.996,9.994388888888889,10.000605555555556
Thompson Sampling,0.9215,0.0009745828214155538,0.007600526307026081,70.247,43.585,5.972088888888889
A1 (Standard),0.9415,0.0004583699686704718,0.005121055197623882,52.2515,37.71044444444444,6.759494444444446
A1 (SqrtK),0.953,0.0002075235669616138,0.003735123207254797,45.645,35.63038888888889,7.040905555555556
TopTwoTS (Standard),0.9105,0.00085834601835257,0.0064526117146586105,67.084,43.34605555555555,6.031127777777778
TopTwoTS (SqrtK),0.9235,0.0010118929937972066,0.008326776279334402,65.951,43.43422222222222,6.0349
